id,value
1,5.77
2,75.4
3,80.09
4,23.0
5,61.62
6,12.39
7,79.05
8,32.23
9,61.7
10,58.33
11,22.24
12,24.76
13,75.9
14,84.83
15,50.31
16,84.97
17,31.05
18,3.83
19,21.12
20,7.14
21,75.64
22,43.06
23,54.23
24,81.0
25,79.19
26,63.51
27,2.05
28,13.58
29,11.6
30,58.3
31,55.78
32,76.55
33,58.43
34,45.82
35,39.36
36,77.32
37,76.87
38,70.77
39,50.08
40,13.57
41,69.58
42,8.24
43,30.82
44,54.95
45,40.25
46,88.33
47,9.62
48,25.56
49,90.63
50,50.14
51,39.82
52,75.09
53,93.75
54,54.72
55,96.25
56,31.69
57,94.26
58,52.46
59,43.09
60,30.78
61,86.75
62,43.56
63,74.09
64,20.67
65,87.36
66,33.79
67,98.53
68,37.54
69,7.43
70,77.27
71,47.65
72,17.6
73,35.31
74,85.8
75,59.42
76,88.22
77,28.38
78,57.39
79,63.92
80,89.16
81,91.29
82,15.87
83,5.89
84,64.58
85,93.66
86,72.97
87,11.41
88,61.67
89,39.84
90,55.28
91,91.84
92,86.96
93,34.53
94,7.57
95,14.54
96,30.14
97,10.45
98,80.61
99,75.4
100,77.6
101,44.66
102,17.42
103,26.79
104,8.52
105,96.98
106,5.73
107,40.45
108,32.84
109,26.57
110,90.74
111,12.75
112,51.09
113,48.72
114,46.35
115,55.78
116,59.59
117,66.47
118,33.73
119,82.75
120,65.45
121,68.23
122,39.27
123,13.4
124,95.76
125,36.33
126,65.54
127,24.0
128,36.02
129,85.12
130,11.59
131,7.66
132,10.39
133,60.03
134,4.8
135,1.05
136,75.45
137,93.37
138,5.1
139,64.42
140,94.1
141,47.45
142,14.23
143,9.77
144,40.92
145,19.86
146,54.33
147,23.87
148,91.8
149,52.05
150,63.7
151,77.54
152,32.77
153,83.72
154,75.56
155,95.63
156,64.37
157,36.66
158,44.33
159,30.65
160,98.19
161,36.02
162,2.12
163,96.41
164,47.99
165,58.56
166,89.07
167,91.5
168,39.14
169,12.1
170,99.47
171,86.54
172,46.03
173,54.3
174,47.59
175,31.54
176,91.89
177,34.07
178,23.17
179,94.53
180,61.32
181,52.78
182,90.74
183,17.27
184,89.03
185,33.73
186,2.62
187,83.8
188,34.08
189,12.54
190,77.67
191,6.58
192,19.77
193,39.98
194,79.75
195,32.14
196,37.77
197,24.33
198,90.89
199,69.71
200,44.43
201,48.13
202,54.06
203,59.66
204,34.08
205,75.03
206,9.92
207,61.63
208,40.31
209,75.88
210,40.83
211,74.21
212,69.89
213,51.07
214,88.22
215,11.51
216,22.32
217,57.45
218,78.63
219,46.12
220,5.74
221,42.77
222,40.58
223,11.14
224,56.69
225,25.58
226,50.12
227,42.49
228,36.4
229,91.46
230,89.21
231,20.51
232,55.04
233,21.83
234,66.22
235,32.29
236,91.51
237,47.42
238,87.52
239,89.6
240,56.58
241,66.49
242,30.57
243,35.72
244,57.57
245,50.34
246,33.9
247,76.61
248,38.99
249,94.31
250,70.21
251,7.41
252,29.32
253,22.88
254,68.48
255,53.38
256,48.12
257,6.57
258,5.48
259,20.0
260,45.59
261,26.54
262,92.03
263,27.56
264,70.53
265,68.49
266,87.15
267,7.11
268,87.84
269,59.68
270,10.25
271,8.51
272,42.57
273,69.01
274,15.92
275,15.89
276,78.33
277,74.61
278,4.88
279,11.47
280,51.04
281,69.09
282,40.9
283,71.48
284,39.03
285,58.29
286,6.94
287,64.11
288,20.57
289,72.26
290,62.16
291,65.07
292,65.0
293,42.04
294,96.95
295,4.7
296,88.65
297,90.94
298,73.72
299,33.27
300,56.14
301,7.44
302,78.11
303,42.19
304,9.65
305,81.88
306,63.2
307,63.9
308,85.76
309,22.15
310,87.09
311,68.07
312,55.91
313,74.82
314,20.84
315,38.94
316,49.1
317,15.26
318,58.95
319,83.07
320,66.1
321,71.92
322,90.88
323,75.2
324,75.08
325,43.91
326,88.6
327,76.23
328,70.66
329,61.82
330,79.01
331,25.45
332,63.98
333,13.02
334,45.68
335,2.21
336,50.1
337,11.04
338,59.52
339,81.46
340,66.26
341,84.4
342,58.21
343,26.96
344,76.82
345,34.74
346,48.17
347,60.72
348,75.08
349,86.84
350,68.2
351,59.36
352,45.64
353,96.48
354,80.25
355,95.56
356,88.38
357,82.54
358,9.32
359,84.28
360,62.42
361,2.71
362,49.75
363,70.67
364,56.96
365,4.61
366,62.11
367,40.03
368,38.98
369,63.28
370,28.41
371,88.73
372,11.33
373,87.58
374,26.0
375,99.85
