id,value
1,"-86.216103,93.463364"
2,"-43.378471,-44.912515"
3,"-44.990186,111.411146"
4,"54.546024,111.724303"
5,"-56.535324,29.099366"
6,"-8.765664,-60.586676"
7,"2.711447,42.509719"
8,"12.182015,-15.73887"
9,"69.533476,136.077373"
10,"-83.507123,-174.166749"
11,"33.568643,32.33205"
12,"-32.064337,76.294481"
13,"-34.077143,-65.010075"
14,"58.381473,-130.273889"
15,"34.137745,104.636592"
16,"-26.473902,82.557998"
17,"-43.361987,-109.901814"
18,"61.126853,141.164988"
19,"-69.54559,50.006385"
20,"-27.814911,130.882799"
21,"-88.26674,140.058109"
22,"-78.645509,68.884321"
23,"37.485183,-75.865761"
24,"54.107072,15.995422"
25,"-10.610497,-160.603051"
26,"-3.645583,-6.351054"
27,"81.625394,-77.32406"
28,"-43.050937,-62.647898"
29,"-85.734789,130.813626"
30,"-4.993756,-86.005242"
31,"-78.8448,-81.514461"
32,"-74.288821,-120.757481"
33,"42.955428,-177.081777"
34,"-16.370085,-84.287484"
35,"29.666197,70.393348"
36,"75.738743,65.380543"
37,"5.798956,-59.820932"
38,"-62.269264,-79.15171"
39,"-36.101017,-178.76031"
40,"-5.175308,34.119301"
41,"-78.796432,173.496425"
42,"-83.798153,22.101763"
43,"11.931751,150.148167"
44,"13.139564,-33.936706"
45,"-35.538355,139.881999"
46,"-50.244669,-175.20039"
47,"-71.632035,21.355106"
48,"-65.618204,13.4951"
49,"-61.758819,-71.046855"
50,"-72.062209,-7.262239"
51,"25.05387,-17.263166"
52,"65.168223,109.566036"
53,"54.386167,-134.352391"
54,"-0.050885,97.200337"
55,"42.986958,121.496814"
56,"21.416071,-22.506058"
57,"60.693453,129.456869"
58,"2.656075,148.891311"
59,"48.035747,-25.33512"
60,"78.905714,78.019091"
61,"-71.009694,-72.79605"
62,"14.360986,-130.148732"
63,"-6.272353,80.627833"
64,"-89.909176,82.689684"
65,"52.374153,-157.469149"
66,"31.967113,131.139888"
67,"-81.200128,-134.038692"
68,"64.361555,49.840615"
69,"26.658223,-67.671407"
70,"21.412162,39.587658"
71,"-72.385109,49.294764"
72,"-83.077352,-114.194249"
73,"88.834518,15.113443"
74,"-73.99058,45.638543"
75,"-78.857689,116.137655"
76,"1.272874,155.439675"
77,"-52.065665,164.229639"
78,"54.620523,5.832008"
79,"65.263128,-106.321497"
80,"-81.285622,-76.470173"
81,"-30.137698,-137.646854"
82,"45.324526,-20.684216"
