id,value
1,83
2,26
3,76
4,59
5,46
6,96
7,11
8,51
9,44
10,44
11,71
12,51
13,76
14,29
15,34
16,84
17,22
18,71
19,3
20,34
21,76
22,51
23,98
24,64
25,33
26,26
27,57
28,74
29,69
30,44
31,20
32,17
33,66
34,53
35,4
36,25
37,39
38,64
39,61
40,18
41,39
42,11
43,88
44,97
45,50
46,97
47,33
48,60
49,52
50,25
51,70
52,96
53,29
54,39
55,68
56,47
57,8
58,60
59,3
60,27
61,29
62,12
63,8
64,63
65,0
66,68
67,51
68,44
69,82
70,66
71,57
72,65
73,86
74,48
75,84
76,34
77,53
78,33
79,28
80,71
81,17
82,37
83,67
84,39
85,40
86,2
87,86
88,83
89,6
90,65
91,75
92,7
93,77
94,11
95,34
96,73
97,35
98,33
99,100
100,96
101,27
102,39
103,28
104,75
105,91
106,29
107,73
108,59
109,40
110,76
111,87
112,99
113,99
114,45
115,98
116,20
117,14
118,10
119,36
120,5
121,22
122,9
123,15
124,90
125,47
126,28
127,63
128,51
129,86
130,85
131,56
132,52
133,58
134,88
135,63
136,12
137,95
138,45
139,93
140,82
141,41
142,99
143,43
144,67
145,95
146,35
147,79
148,79
149,91
150,74
151,68
152,77
153,68
154,57
155,86
156,76
157,0
158,53
159,35
160,21
161,12
162,46
163,51
164,45
165,4
166,12
167,56
168,13
169,90
170,30
171,29
172,72
173,44
174,64
175,67
176,94
177,41
178,46
179,66
180,36
181,75
182,11
183,11
184,18
185,70
186,76
187,2
188,73
189,42
190,75
191,8
192,99
193,54
194,58
195,79
196,39
197,31
198,61
199,7
200,93
201,17
202,57
203,18
204,10
205,68
206,30
207,10
208,79
209,2
210,14
211,31
212,69
213,100
214,30
215,71
216,25
217,77
218,88
219,74
220,54
221,99
222,98
223,88
224,30
225,91
226,79
227,58
228,56
229,21
230,89
231,84
232,53
233,12
234,4
235,66
236,36
237,45
238,95
239,64
240,82
241,66
242,65
243,67
244,44
245,43
246,82
247,90
248,61
249,13
250,56
251,84
252,36
253,55
254,14
255,74
256,92
257,35
258,32
259,73
260,15
261,50
262,74
263,32
264,94
265,0
266,83
267,70
268,4
269,0
270,59
271,63
272,74
273,53
274,73
275,91
276,34
277,14
278,93
279,6
280,38
281,47
282,23
283,88
284,76
285,95
286,93
287,80
288,58
289,85
290,7
291,27
292,52
293,52
294,77
295,39
296,31
297,70
298,26
299,94
300,60
301,55
302,15
303,68
304,12
305,85
306,13
307,35
308,73
309,7
310,80
311,76
312,21
313,47
314,81
315,81
316,20
317,39
318,20
319,96
320,57
321,55
322,98
323,48
324,55
325,45
326,77
327,84
328,64
329,47
330,34
331,40
332,78
333,72
334,42
335,16
336,88
337,49
338,12
339,92
340,72
341,81
342,70
343,93
344,52
345,16
346,97
347,80
348,19
349,41
350,8
351,45
352,59
353,12
354,40
355,51
356,48
357,100
358,47
359,15
360,99
361,72
362,84
363,60
364,36
365,14
366,82
367,97
368,67
369,26
370,71
371,44
372,65
373,2
374,21
375,1
376,96
377,80
378,7
379,86
380,53
381,10
382,75
383,89
384,69
385,42
386,50
387,91
388,60
389,44
390,76
391,18
392,89
393,67
394,96
395,76
396,34
397,16
398,99
399,78
400,87
401,17
402,9
403,22
404,17
405,89
406,18
407,95
408,46
409,2
410,35
411,25
412,59
413,73
414,59
415,94
416,65
417,47
418,1
419,63
420,52
421,9
422,55
423,90
424,79
425,45
426,48
427,13
428,51
429,14
430,0
431,1
432,41
433,0
434,1
435,12
436,85
437,22
438,94
439,19
440,20
441,96
442,90
443,22
444,92
445,72
446,7
447,74
448,89
449,0
450,74
451,85
452,75
453,96
454,69
455,80
456,86
457,21
458,53
459,60
460,33
461,85
462,43
463,45
464,27
465,47
466,2
467,46
468,61
469,21
470,1
471,18
472,1
473,46
474,44
475,0
476,11
477,37
478,24
479,26
480,56
481,72
482,88
483,59
484,71
485,62
